Srno,Company_Name,Bid_Opening_Date,Bid_Closing_Date,Face_Value,Bid_Price_From,Bid_Price_To,Market_Lot,Listing_at,Issue_size,Fresh_issue,Offer_for_sale,Basis_of_Allotment_Date,Initiation_of_refunds,Credit_of_shares_to_demat_account,Listing_date,Listing_day,Listing_year,BSE_script_code,NSE_symbol,Listing_in,ISIN,Qualified_Institutional_Buyers,Non_Institutional_Investors,Retail_Individual_Investors,Total_Subscription,Registrar_Name,Pre_Issue_Share_Holding,Post_Issue_Share_Holding,NSE_Listing_day_open,NSE_Listing_day_low,NSE_Listing_day_high,NSE_Listing_day_last_trade,NSE_Listing_day_volume,NSE_SME_Listing_day_open,NSE_SME_Listing_day_low,NSE_SME_Listing_day_high,NSE_SME_Listing_day_last_trade,NSE_SME_Listing_day_volume,BSE_Listing_day_open,BSE_Listing_day_low,BSE_Listing_day_high,BSE_Listing_day_last_trade,BSE_Listing_day_volume,BSE_SME_Listing_day_open,BSE_SME_Listing_day_low,BSE_SME_Listing_day_high,BSE_SME_Listing_day_last_trade,BSE_SME_Listing_day_volume
1,Voltamp Transformers Limited ,"Aug 24, 2006","Aug 29, 2006",10,295,345,NaN,"BSE, NSE","4,883,840 Eq Shares of ₹10 (aggregating up to ₹168.49 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, September 20, 2006",Wednesday,2006,532757,VOLTAMP,NaN,INE540H01012,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,370.00,370.00,430.70,416.45,9531676,NaN,NaN,NaN,NaN,NaN,399.00,375.00,430.90,417.05,8445000,NaN,NaN,NaN,NaN,NaN
2,Deep Industries Ltd ,"Aug 29, 2006","Sep 4, 2006",10,36,36,175,BSE,"11,300,000 Eq Shares of ₹10 (aggregating up to ₹40.68 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, September 25, 2006",Monday,2006,532760,DEEPIND,NaN,INE677H01012,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.00,27.00,49.00,27.90,9704917,NaN,NaN,NaN,NaN,NaN
3,KEW Industries Limted ,"Aug 28, 2006","Sep 1, 2006",10,30,30,170,NSE,"7,000,000 Eq Shares of ₹10 (aggregating up to ₹21.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, September 25, 2006",Monday,2006,532758,NaN,NaN,NaN,NaN,NaN,NaN,NaN,KFintech Private Limited,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.50,23.10,36.00,23.60,6977994,NaN,NaN,NaN,NaN,NaN
4,Action Construction Equipment Ltd ,"Sep 1, 2006","Sep 7, 2006",10,110,130,20,"BSE, NSE","4,600,000 Eq Shares of ₹10 (aggregating up to ₹59.80 Cr)",NaN,NaN,NaN,NaN,NaN,"Tuesday, September 26, 2006",Tuesday,2006,532762,ACE,NaN,INE731H01025,NaN,NaN,NaN,NaN,KFintech Private Limited,NaN,NaN,180.00,180.00,210.90,193.65,7582512,NaN,NaN,NaN,NaN,NaN,200.00,185.45,210.85,193.45,5792222,NaN,NaN,NaN,NaN,NaN
5,Atlanta Limited ,"Sep 1, 2006","Sep 7, 2006",10,130,150,45,"BSE, NSE","4,300,000 Eq Shares of ₹10 (aggregating up to ₹64.50 Cr)",NaN,NaN,NaN,NaN,NaN,"Monday, September 25, 2006",Monday,2006,532759,ATLANTA,B,INE285H01022,NaN,NaN,NaN,NaN,KFintech Private Limited,NaN,NaN,175.55,175.55,208.65,192.30,12867315,NaN,NaN,NaN,NaN,NaN,170.00,170.00,209.50,192.30,11203665,NaN,NaN,NaN,NaN,NaN
6,HOV Services Limited ,"Sep 4, 2006","Sep 7, 2006",10,200,240,25,"BSE, NSE","4,050,000 Eq Shares of ₹10 (aggregating up to ₹81.00 Cr)",NaN,NaN,NaN,NaN,NaN,"Wednesday, September 27, 2006",Wednesday,2006,532761,HOVS,NaN,INE596H01014,NaN,NaN,NaN,NaN,KFintech Private Limited,NaN,NaN,204.00,177.25,234.00,180.30,2853848,NaN,NaN,NaN,NaN,NaN,200.00,177.10,208.80,179.75,2479023,NaN,NaN,NaN,NaN,NaN
7,Usher Agro Ltd ,"Sep 5, 2006","Sep 11, 2006",10,15,15,400,BSE,"12,012,000 Eq Shares of ₹10 (aggregating up to ₹18.02 Cr)",NaN,NaN,NaN,NaN,NaN,"Friday, October 6, 2006",Friday,2006,532765,USHERAGRO,NaN,INE235G01011,NaN,NaN,NaN,NaN,Adroit Corporate Services Pvt Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.35,14.90,19.35,16.20,9385025,NaN,NaN,NaN,NaN,NaN
8,Gwalior Chemical Industries Ltd ,"Sep 11, 2006","Sep 14, 2006",10,71,85,75,"BSE, NSE",[.] Eq Shares of ₹10 (aggregating up to ₹80.00 Cr),NaN,NaN,NaN,NaN,NaN,"Wednesday, October 4, 2006",Wednesday,2006,532764,GEECEE,NaN,INE916G01016,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,83.50,83.50,95.40,93.85,17056537,NaN,NaN,NaN,NaN,NaN,90.00,85.00,95.25,93.80,17009203,NaN,NaN,NaN,NaN,NaN
9,Richa Knits Limited ,"Sep 13, 2006","Sep 19, 2006",10,30,30,NaN,BSE,"7,500,000 Eq Shares of ₹10 (aggregating up to ₹22.50 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, October 12, 2006",Thursday,2006,532766,NaN,NaN,INE516H01012,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.95,30.00,40.00,30.25,19423283,NaN,NaN,NaN,NaN,NaN
10,Fiem Industries Limited ,"Sep 21, 2006","Sep 27, 2006",10,125,145,NaN,"BSE, NSE","4,100,000 Eq Shares of ₹10 (aggregating up to ₹56.17 Cr)",NaN,NaN,NaN,NaN,NaN,"Thursday, October 19, 2006",Thursday,2006,532768,FIEMIND,NaN,INE737H01014,NaN,NaN,NaN,NaN,Link Intime India Private Ltd,NaN,NaN,169.25,119.55,169.25,121.55,2558307,NaN,NaN,NaN,NaN,NaN,145.00,119.65,148.00,121.75,2930156,NaN,NaN,NaN,NaN,NaN
