Bid_Price_From,Bid_Price_To,Market_Lot,Listing_at,Qualified_Institutional_Buyers,Non_Institutional_Investors,Retail_Individual_Investors,Total_Subscription,Listing_day_open,Listing_day_last_trade,Bidding_Period,Bid_Opening_Month,Bid_Closing_Month
125.0,127.0,55.0,1,3.68,0.34,0.38,2.07,120.9,112.575,5,9,10
253.0,260.0,20.0,1,22.15,3.61,0.94,12.13,275.55,282.92499999999995,2,10,10
248.0,257.0,25.0,1,0.52,3.16,1.04,1.1,254.0,379.875,7,10,10
172.0,183.0,30.0,1,4.32,0.24,0.08,2.26,190.0,192.85000000000002,2,10,10
65.0,71.0,90.0,1,1.54,33.44,8.0,8.59,75.875,81.6,2,10,10
85.0,90.0,65.0,1,18.52,28.86,3.85,14.88,95.0,96.57499999999999,3,11,11
120.0,125.0,50.0,1,6.04,182.52,37.34,42.88,209.925,210.05,2,11,11
68.0,75.0,80.0,1,0.16,7.27,5.6,2.97,75.0,68.92500000000001,4,11,11
340.0,375.0,17.0,1,49.16,143.3,32.86,56.43,558.0,465.775,5,11,12
135.0,140.0,50.0,1,4.19,3.67,6.56,4.92,137.45,132.52499999999998,3,11,12
56.0,64.0,100.0,1,0.15,7.31,3.01,2.22,68.0,80.05,2,12,12
400.0,410.0,15.0,1,0.68,3.12,0.33,0.96,445.0,328.725,2,12,12
113.0,120.0,50.0,1,49.8,85.84,44.45,50.75,145.05,127.1,3,12,12
95.0,110.0,60.0,1,1.02,3.92,4.82,2.78,112.5,110.8,6,12,1
594.0,610.0,10.0,1,10.41,7.21,1.6,6.03,630.625,625.975,2,1,1
95.0,98.0,60.0,1,0.82,5.27,9.9,4.67,93.5,46.325,3,1,1
72.0,77.0,81.0,1,0.17,4.47,2.27,1.55,77.025,113.1,3,2,2
88.0,90.0,60.0,1,1.12,2.0,1.21,1.28,111.0,98.45,3,2,2
195.0,205.0,30.0,1,21.87,99.87,20.84,35.21,250.75,249.375,3,3,3
26.0,28.0,250.0,1,2.85,0.22,1.18,1.7,27.375,24.9,2,3,3
65.0,69.0,79.0,1,1.04,6.39,5.74,3.48,78.175,47.825,3,3,3
160.0,175.0,40.0,1,25.01,60.94,8.5,24.55,188.3,176.075,3,4,4
27.0,29.0,200.0,1,0.34,4.21,1.9,1.47,29.5,19.025,2,4,4
32.0,35.0,150.0,1,0.33,3.28,9.31,3.92,35.75,26.85,5,4,4
117.0,120.0,50.0,1,0.85,1.94,1.48,1.24,110.975,93.82499999999999,3,4,4
10.0,11.0,600.0,1,0.26,7.81,0.61,1.52,9.25,8.25,3,4,4
45.0,49.0,120.0,1,0.16,11.29,6.83,4.16,33.575,18.075,4,4,5
193.0,203.0,28.0,1,6.92,1.2,2.0,4.34,196.8,199.475,3,5,5
80.0,85.0,70.0,1,0.0,1.82,2.93,1.3,86.5,111.875,5,5,5
228.0,240.0,25.0,1,0.14,2.65,1.84,1.11,223.725,311.175,3,5,5
54.0,63.0,100.0,1,0.65,3.22,14.22,5.78,72.0,91.375,3,5,6
63.0,72.0,90.0,1,0.23,1.35,6.57,2.62,77.875,119.575,3,6,6
75.0,82.0,75.0,1,0.0,1.94,5.06,2.06,82.95,30.424999999999997,3,7,7
51.0,59.0,100.0,1,1.93,6.18,9.61,5.34,52.425,50.0,2,7,7
100.0,117.0,50.0,1,0.25,9.49,8.66,4.58,118.0,207.35,2,7,7
58.0,65.0,100.0,1,0.75,5.11,0.32,1.25,61.5,33.45,3,8,8
135.0,153.0,40.0,1,1.02,1.68,2.76,1.85,132.4,117.07499999999999,2,8,8
90.0,100.0,60.0,1,0.0,2.82,3.36,1.6,105.0,60.85,2,8,8
256.0,261.0,25.0,1,6.52,0.38,0.38,2.92,255.8,275.025,2,8,8
190.0,210.0,30.0,1,0.98,1.84,1.64,1.34,207.5,413.475,5,9,9
