Bid_Price_From,Bid_Price_To,Market_Lot,Listing_at,Qualified_Institutional_Buyers,Non_Institutional_Investors,Retail_Individual_Investors,Total_Subscription,Listing_day_open,Listing_day_last_trade,Bidding_Period,Bid_Opening_Month,Bid_Closing_Month
71.0,72.0,1600.0,2,0.0,28.18,13.85,23.45,72.0,75.6,2,5,5
30.0,30.0,4000.0,2,0.0,1.88,1.52,1.7,30.5,31.0,2,5,5
35.0,35.0,4000.0,2,0.0,1.9,0.74,1.32,35.0,35.35,6,5,5
30.0,30.0,4000.0,2,0.0,0.69,3.71,2.2,29.95,29.25,5,5,5
30.0,30.0,4000.0,2,0.0,0.82,1.5,1.16,37.5,35.85,10,5,6
161.0,161.0,800.0,2,0.0,0.85,2.84,1.85,158.0,153.15,4,5,6
95.0,95.0,1200.0,2,0.0,2.02,0.23,1.13,100.0,100.15,4,6,6
80.0,80.0,1600.0,2,0.0,1.06,1.13,1.1,80.0,82.0,7,7,7
72.0,72.0,1600.0,2,0.0,1.41,0.78,1.1,72.1,72.4,5,7,7
375.0,375.0,300.0,2,0.0,1.87,0.42,1.14,377.1,376.5,3,7,7
40.0,40.0,3000.0,2,0.0,2.3,0.48,1.39,41.9,40.9,5,8,8
10.0,10.0,10000.0,2,0.0,1.86,2.17,2.02,9.75,9.71,5,8,8
26.0,26.0,4000.0,2,0.0,1.64,0.98,1.31,28.2,28.7,9,8,8
70.0,70.0,2000.0,2,0.0,1.0,0.36,1.13,76.0,81.9,7,9,9
25.0,25.0,6000.0,2,0.0,77.48,62.03,69.75,27.5,28.85,5,9,9
181.0,188.0,600.0,2,1.56,1.59,0.37,1.08,190.2,183.65,4,9,9
24.0,24.0,6000.0,2,0.0,1.88,1.17,1.52,24.6,25.8,6,9,9
36.0,40.0,3000.0,2,0.0,1.01,1.58,1.3,43.0,45.15,2,9,9
60.0,60.0,2000.0,2,0.0,2.37,1.25,1.81,61.0,61.25,6,9,10
26.0,26.0,4000.0,2,0.0,1.82,0.68,1.25,27.5,27.05,4,9,10
40.0,40.0,3000.0,2,0.0,2.27,3.64,2.95,41.8,43.85,6,9,10
23.0,23.0,6000.0,2,0.0,2.36,0.85,1.61,36.0,37.8,11,9,10
51.0,51.0,2000.0,2,0.0,1.62,0.75,1.19,53.0,51.25,14,9,10
11.0,11.0,10000.0,2,0.0,2.14,0.99,1.56,11.05,11.55,7,9,10
30.0,30.0,4000.0,2,0.0,1.97,0.23,1.1,30.6,28.6,7,10,10
35.0,35.0,4000.0,2,0.0,2.16,0.48,1.32,37.0,36.3,14,10,10
20.0,20.0,6000.0,2,0.0,0.48,1.76,1.12,20.05,20.5,3,11,11
13.0,13.0,10000.0,2,0.0,1.33,4.49,2.93,12.35,12.35,7,11,11
30.0,30.0,4000.0,2,0.0,1.99,0.07,1.07,36.2,35.9,2,11,11
45.0,45.0,3000.0,2,0.0,1.83,0.78,1.3,46.15,46.8,2,12,12
60.0,60.0,2000.0,2,0.0,2.4,1.55,1.98,61.0,62.1,6,12,1
80.0,80.0,1600.0,2,0.0,12.42,10.24,11.5,80.8,81.3,3,1,1
71.0,73.0,1600.0,2,0.0,1.82,0.96,1.39,77.4,73.55,2,1,1
37.0,37.0,3000.0,2,0.0,1.26,1.31,1.29,35.25,36.95,6,2,2
33.0,33.0,4000.0,2,0.0,1.56,1.56,1.56,33.6,35.9,2,2,2
10.0,10.0,10000.0,2,0.0,1.02,1.32,1.17,12.0,11.4,3,2,2
34.0,34.0,4000.0,2,0.0,2.35,1.64,2.0,33.95,34.6,6,3,3
10.0,10.0,10000.0,2,0.0,2.74,0.76,1.75,9.0,8.55,3,2,2
32.0,32.0,4000.0,2,0.0,1.53,1.54,1.54,32.0,33.6,3,2,3
51.0,51.0,2000.0,2,0.0,2.07,0.25,1.16,50.0,51.0,5,3,3
132.0,132.0,1000.0,2,0.0,1.9,0.91,1.42,132.0,132.0,4,3,3
43.0,43.0,3000.0,2,0.0,1.83,0.78,1.3,43.7,43.1,5,3,3
59.0,59.0,2000.0,2,0.0,1.34,1.08,1.21,59.0,56.1,6,4,4
61.0,61.0,2000.0,2,0.0,1.5,1.56,1.53,62.0,60.0,6,4,4
59.0,65.0,2000.0,2,0.0,1.91,0.59,1.25,62.0,61.5,13,5,5
32.0,32.0,4000.0,2,0.0,1.57,1.56,1.56,34.2,35.0,3,4,4
54.0,60.0,2000.0,2,0.0,1.67,0.45,1.06,70.0,69.85,12,4,5
63.0,63.0,2000.0,2,0.0,2.02,0.7,1.36,64.2,64.3,6,4,5
52.0,52.0,2000.0,2,0.0,2.63,0.56,1.59,52.2,54.8,3,4,5
81.0,83.0,1600.0,2,0.0,2.27,0.37,1.32,85.4,86.25,4,9,10
73.0,75.0,1600.0,2,0.0,1.32,1.47,1.39,68.5,71.35,5,5,6
225.0,225.0,500.0,2,0.0,1.99,0.33,1.16,222.5,221.9,5,6,6
27.0,27.0,4000.0,2,0.0,1.86,0.48,1.17,28.25,27.2,6,6,6
45.0,45.0,3000.0,2,0.0,1.65,0.74,1.2,45.85,46.0,2,6,6
36.0,36.0,3000.0,2,0.0,1.72,1.48,1.6,36.0,36.05,5,6,6
22.0,22.0,6000.0,2,0.0,1.94,0.78,1.36,22.0,23.1,2,6,6
20.0,20.0,6000.0,2,0.0,1.97,0.54,1.26,19.2,20.0,7,6,7
30.0,30.0,4000.0,2,0.0,2.67,3.33,3.0,28.5,29.65,6,6,7
84.0,84.0,1600.0,2,0.0,1.96,0.53,1.18,83.0,84.35,2,8,8
130.0,130.0,1000.0,2,0.0,0.9,1.37,1.13,132.5,131.0,2,8,8
24.0,24.0,6000.0,2,0.0,1.8,0.67,1.24,24.0,24.15,5,8,9
27.0,27.0,4000.0,2,0.0,2.52,0.72,1.62,27.85,29.2,2,9,9
23.0,23.0,6000.0,2,0.0,1.76,0.56,1.16,23.2,23.05,3,9,9
51.0,52.0,2000.0,2,0.0,1.87,0.87,1.37,55.0,56.6,4,9,10
13.0,13.0,10000.0,2,0.0,3.82,7.05,5.44,13.25,13.91,5,11,11
46.0,46.0,3000.0,2,0.0,2.53,0.58,1.56,46.45,46.95,4,12,12
22.0,22.0,6000.0,2,0.0,1.91,0.78,1.34,22.0,22.0,3,12,1
50.0,50.0,3000.0,2,0.0,1.03,1.48,1.26,50.7,48.5,3,1,1
10.0,10.0,10000.0,2,0.0,1.09,2.87,1.98,11.1,11.65,2,1,1
51.0,51.0,2000.0,2,0.0,1.87,1.44,1.65,51.7,51.75,6,1,2
20.0,20.0,6000.0,2,0.0,3.56,2.59,3.08,20.8,21.8,7,1,2
18.0,18.0,8000.0,2,0.0,2.21,0.47,1.34,18.0,18.0,2,3,3
36.0,36.0,3000.0,2,0.0,1.95,0.43,1.19,36.0,36.0,5,3,3
185.0,185.0,600.0,2,0.0,1.67,0.63,1.15,189.0,189.0,9,3,4
51.0,51.0,2000.0,2,0.0,2.36,0.69,1.53,51.0,53.1,2,3,3
20.0,20.0,6000.0,2,0.0,1.95,1.71,1.83,20.6,20.8,5,3,3
37.0,37.0,3000.0,2,0.0,2.15,0.58,1.37,36.9,37.1,4,6,6
28.0,28.0,4000.0,2,0.0,2.51,0.21,1.36,21.0,21.5,3,6,7
15.0,15.0,8000.0,2,0.0,2.35,0.28,1.31,15.45,16.22,2,8,8
105.0,105.0,1200.0,2,0.0,0.29,2.8,1.55,105.0,99.75,2,8,8
51.0,51.0,2000.0,2,0.0,1.53,2.32,1.92,51.95,51.55,3,9,9
135.0,135.0,1000.0,2,0.0,1.12,1.35,1.24,134.0,127.3,5,9,9
40.0,40.0,3000.0,2,0.0,2.48,3.35,2.91,40.0,39.05,7,9,9
159.0,159.0,800.0,2,0.0,2.13,1.07,1.6,160.0,167.5,6,9,10
28.0,28.0,4000.0,2,0.0,1.84,1.18,1.51,31.0,29.5,9,9,10
40.0,40.0,3000.0,2,0.0,1.83,1.63,1.73,40.5,39.55,4,10,10
30.0,30.0,4000.0,2,0.0,1.67,1.87,1.77,30.15,30.05,5,11,11
402.0,430.0,300.0,3,1.0,0.91,2.61,1.53,403.0,403.0,2,9,9
48.0,50.0,3000.0,3,1.05,1.47,2.06,1.56,145.0,145.45,2,12,12
38.0,40.0,3000.0,3,0.0,75.12,34.89,55.38,48.0,40.2,4,7,8
71.0,72.0,1600.0,3,0.0,1.87,1.91,1.89,71.9,70.35,3,8,8
41.0,45.0,3000.0,3,3.22,65.12,39.01,37.41,53.0,54.0,2,8,8
40.0,43.0,3000.0,3,0.0,1.77,3.25,2.62,51.6,51.6,4,9,9
55.0,57.0,2000.0,3,0.0,378.67,140.84,260.63,68.4,68.4,2,11,11
45.0,45.0,3000.0,3,0.0,12.19,11.37,11.78,54.0,54.0,4,12,1
120.0,120.0,1200.0,3,0.0,24.16,12.36,18.28,144.0,144.0,5,1,1
150.0,150.0,1000.0,3,0.0,6.9,22.7,15.01,149.9,133.35,2,1,1
27.0,31.0,4000.0,3,0.0,2.94,6.68,4.81,28.95,32.55,2,1,1
52.0,52.0,2000.0,3,0.0,15.4,24.91,20.21,43.5,51.2,3,1,1
30.0,30.0,4000.0,3,0.0,175.44,259.96,218.0,36.0,36.0,5,1,1
65.0,65.0,2000.0,3,0.0,3.97,10.88,7.44,70.5,66.55,4,1,2
63.0,65.0,2000.0,3,5.8,203.72,16.41,38.92,78.0,78.0,2,2,2
76.0,78.0,1600.0,3,18.04,144.16,11.7,29.42,93.6,88.3,2,2,2
186.0,188.0,600.0,3,0.0,0.41,0.66,0.78,190.0,199.5,7,3,4
115.0,115.0,1200.0,3,0.0,1.62,0.44,1.09,114.0,115.0,11,2,2
61.0,61.0,2000.0,3,0.0,2.18,3.62,2.9,60.95,62.5,5,2,2
83.0,85.0,1600.0,3,0.0,1.13,1.83,1.64,83.0,70.55,2,3,3
55.0,55.0,2000.0,3,0.0,1.46,3.04,2.31,56.0,55.75,2,3,3
126.0,140.0,1000.0,3,0.0,1.92,5.07,3.8,149.0,162.05,2,3,3
55.0,55.0,2000.0,3,0.0,2.64,2.88,2.76,49.0,49.05,2,3,3
57.0,57.0,2000.0,3,0.0,2.03,0.8,1.54,57.75,57.85,3,3,3
100.0,100.0,1200.0,3,0.0,1.37,0.98,1.2,101.25,102.25,4,3,3
92.0,92.0,1200.0,3,0.0,1.07,1.31,1.19,92.5,92.55,2,3,3
100.0,100.0,1200.0,3,0.0,0.96,1.36,1.16,101.0,100.1,2,3,3
21.0,21.0,6000.0,3,0.0,2.37,0.58,1.47,21.0,21.0,2,3,3
26.0,26.0,4000.0,3,0.0,0.56,2.36,1.46,26.0,25.75,2,3,3
105.0,107.0,1200.0,3,0.0,2.28,1.08,1.92,113.0,118.55,6,3,4
37.0,37.0,3000.0,3,0.0,1.02,0.16,0.59,37.0,37.0,4,3,3
37.0,40.0,3000.0,3,0.0,14.43,6.82,11.19,42.95,43.1,8,3,4
25.0,25.0,6000.0,3,0.0,2.13,3.53,2.86,25.1,25.2,7,3,4
40.0,40.0,3000.0,3,0.0,3.29,3.7,3.49,44.85,44.3,7,3,4
32.0,32.0,4000.0,3,0.0,0.93,1.48,1.21,31.95,31.9,14,3,4
24.0,25.0,6000.0,3,0.0,22.42,9.88,27.85,35.0,36.75,2,4,4
33.0,33.0,4000.0,3,0.0,8.61,11.9,10.26,35.0,34.9,2,4,4
60.0,60.0,2000.0,3,0.0,4.56,14.45,9.67,60.0,63.0,5,4,4
56.0,56.0,2000.0,3,0.0,1.59,1.38,1.48,55.75,57.0,2,4,4
30.0,33.0,4000.0,3,0.0,1.1,1.69,1.39,31.0,31.0,6,4,5
78.0,80.0,1600.0,3,0.0,31.21,28.94,30.82,72.5,72.0,6,4,5
140.0,140.0,1000.0,3,0.0,1.04,0.07,0.55,140.9,145.5,2,5,5
57.0,57.0,2000.0,3,0.0,130.82,13.39,73.81,85.0,89.0,4,5,5
151.0,160.0,800.0,3,0.0,9.69,6.44,8.32,162.0,164.8,6,5,5
18.0,18.0,8000.0,3,0.0,1.49,1.39,1.44,18.0,17.85,3,5,5
66.0,66.0,2000.0,3,0.0,1.19,3.74,2.47,68.0,66.2,5,5,5
45.0,45.0,3000.0,3,0.0,2.45,0.88,1.67,48.0,48.5,2,5,5
20.0,20.0,6000.0,3,0.0,1.07,1.88,1.47,20.95,20.35,4,5,5
25.0,26.0,4000.0,3,0.0,2.6,5.69,4.17,27.85,27.0,5,6,6
36.0,36.0,3000.0,3,0.0,1.04,3.8,2.42,37.0,36.95,5,6,6
81.0,84.0,1600.0,3,0.56,1.42,4.79,1.5,88.0,86.1,3,6,6
75.0,75.0,1600.0,3,0.0,7.41,8.1,7.76,81.0,81.25,2,6,6
27.0,32.0,4000.0,3,0.0,1.4,1.0,1.2,27.1,27.55,5,8,8
60.0,60.0,2000.0,3,0.0,5.71,6.73,6.24,64.2,67.4,2,7,7
41.0,41.0,3000.0,3,0.0,1.81,0.52,1.17,41.25,41.7,6,6,7
36.0,36.0,3000.0,3,0.0,2.21,1.49,1.85,37.75,37.25,3,6,6
180.0,180.0,800.0,3,0.0,1.82,0.6,1.21,181.35,181.5,4,6,7
21.0,21.0,6000.0,3,0.0,0.84,2.8,1.78,21.1,21.2,4,6,7
66.0,66.0,2000.0,3,0.0,1.91,0.97,1.36,66.65,66.65,4,7,7
51.0,51.0,2000.0,3,0.0,1.52,1.09,1.3,48.0,45.6,8,8,8
51.0,51.0,2000.0,3,0.0,2.24,0.4,1.38,52.0,51.65,6,7,7
69.0,69.0,2000.0,3,0.0,1.77,0.84,1.3,69.3,69.4,2,8,8
74.0,74.0,1600.0,3,0.0,104.01,23.85,63.98,89.9,94.35,4,8,8
38.0,38.0,3000.0,3,0.0,3.26,2.65,2.99,36.1,38.7,4,8,8
41.0,41.0,3000.0,3,0.0,3.86,5.65,4.97,41.0,38.95,3,9,9
43.0,45.0,3000.0,3,0.0,10.6,1.7,6.41,47.0,47.95,2,8,8
42.0,42.0,3000.0,3,0.0,2.92,1.2,2.25,37.45,39.3,2,8,8
147.0,150.0,1000.0,3,1.44,2.64,3.19,2.35,141.0,136.0,7,9,9
119.0,121.0,1000.0,3,3.61,13.43,2.92,5.36,111.05,116.6,2,9,9
31.0,31.0,4000.0,3,0.0,1.99,0.37,1.18,32.25,32.0,4,9,9
65.0,65.0,2000.0,3,0.0,1.99,0.56,1.27,64.5,65.5,4,9,9
35.0,35.0,4000.0,3,0.0,1.88,1.02,1.45,34.5,35.95,6,9,9
30.0,30.0,4000.0,3,0.0,2.53,1.65,2.09,30.0,28.5,6,2,2
26.0,26.0,4000.0,3,0.0,2.38,0.38,1.38,35.0,33.25,3,9,9
60.0,63.0,2000.0,3,0.0,2.08,2.62,2.45,64.0,64.9,2,9,9
64.0,66.0,2000.0,3,0.0,2.04,0.43,1.23,66.6,66.6,5,9,10
36.0,36.0,3000.0,3,0.0,1.96,0.5,1.23,36.45,36.1,6,9,10
32.0,32.0,4000.0,3,0.0,3.45,0.52,1.99,34.1,33.7,5,9,10
40.0,40.0,3000.0,3,0.0,1.97,1.24,1.61,40.5,42.4,5,9,10
36.0,36.0,3000.0,3,0.0,1.88,0.28,1.09,37.8,39.5,7,9,10
90.0,90.0,1600.0,3,0.0,2.01,0.27,1.14,92.0,90.0,2,10,10
35.0,35.0,4000.0,3,0.0,2.11,1.76,1.94,33.1,33.2,5,10,10
26.0,26.0,4000.0,3,0.0,3.03,5.41,4.22,27.1,27.2,5,11,11
75.0,75.0,1600.0,3,0.0,2.03,0.26,1.14,75.15,75.15,3,11,11
51.0,52.0,2000.0,3,0.0,1.7,1.23,1.55,53.1,53.25,4,1,1
34.0,36.0,3000.0,3,0.0,1.31,1.78,1.54,40.0,41.65,2,3,3
36.0,36.0,3000.0,3,0.0,1.34,1.48,1.34,36.5,36.1,13,3,4
252.0,252.0,400.0,3,0.0,1.66,0.57,1.12,255.0,267.6,2,3,3
51.0,51.0,2000.0,3,0.0,3.48,7.97,5.74,52.9,50.45,5,5,5
29.0,29.0,4000.0,3,0.0,1.2,0.74,0.97,29.0,29.15,5,6,7
89.0,89.0,1600.0,3,0.0,2.19,0.33,1.26,93.0,89.05,7,7,7
44.0,44.0,3000.0,3,0.0,2.26,0.43,1.34,44.25,44.15,4,9,9
36.0,36.0,3000.0,3,0.0,2.1,0.2,1.15,36.0,36.0,6,8,9
10.0,10.0,10000.0,3,0.0,1.74,0.69,1.21,11.15,11.4,4,9,10
51.0,51.0,2000.0,3,0.0,2.09,0.47,1.28,53.0,51.5,5,11,11
30.0,30.0,4000.0,3,0.0,1.92,1.03,1.47,30.25,30.25,2,11,11
45.0,45.0,3000.0,3,0.0,1.39,1.76,1.56,45.5,45.2,6,12,12
24.0,24.0,6000.0,3,0.0,1.75,3.97,2.86,24.1,24.8,7,12,1
40.0,40.0,3000.0,3,0.0,2.96,1.37,2.16,40.7,41.3,2,1,1
100.0,102.0,1200.0,3,0.0,1.72,1.77,1.74,102.0,99.75,3,1,1
15.0,15.0,8000.0,3,0.0,2.22,0.2,1.21,15.0,15.0,14,3,4
100.0,100.0,1200.0,3,0.0,2.22,0.62,1.42,101.95,106.9,3,6,6
45.0,45.0,3000.0,3,0.0,1.09,2.09,1.59,46.0,45.1,10,9,10
42.0,42.0,3000.0,3,0.0,2.47,2.31,2.39,44.5,43.6,5,9,10
72.0,72.0,1600.0,3,0.0,1.99,0.4,1.2,70.2,66.7,7,9,10
95.0,95.0,1200.0,3,0.0,1.44,1.76,1.6,95.0,95.8,4,10,10
860.0,1032.0,6.0,4,49.12,150.35,24.14,54.13,1387.0,1297.05,2,2,2
29.0,33.0,200.0,4,0.23,12.15,16.63,7.76,42.0,27.2,5,6,6
45.0,50.0,120.0,4,0.0,5.45,1.76,1.43,49.0,50.0,2,1,1
75.0,80.0,80.0,4,93.86,272.88,19.45,86.33,135.0,108.55,2,3,3
137.0,145.0,40.0,4,21.97,21.6,13.51,18.95,140.0,159.35,3,3,3
126.0,133.0,50.0,4,1.86,48.41,13.51,12.92,159.4,163.05,2,7,7
41.0,43.0,150.0,4,1.78,23.18,12.59,8.77,53.95,36.65,3,9,9
90.0,100.0,65.0,4,1.66,40.94,7.45,9.58,120.0,106.0,2,9,9
228.0,235.0,22.0,4,1.31,2.03,1.6,1.5,224.4,205.85,8,11,12
64.0,70.0,95.0,4,0.35,4.68,9.01,4.03,73.0,58.05,2,1,1
60.0,72.0,90.0,4,0.0,0.22,4.38,1.57,80.0,140.9,2,2,2
36.0,40.0,160.0,4,0.0,1.11,3.41,1.36,43.95,28.5,3,5,6
10.0,11.0,500.0,4,1.04,0.17,1.82,1.18,10.1,25.35,3,6,6
90.0,108.0,60.0,4,0.03,1.37,4.18,1.68,115.0,66.45,2,6,6
72.0,79.0,80.0,4,0.0,0.75,3.96,1.5,85.0,26.5,2,9,9
30.0,32.0,200.0,4,0.0,3.44,1.36,0.99,29.95,28.5,4,3,3
1229.0,1230.0,12.0,4,73.18,111.85,5.54,46.99,1518.0,1401.6,2,9,9
805.0,806.0,18.0,5,48.64,159.03,6.48,51.22,1085.0,1069.2,2,1,1
145.0,149.0,100.0,5,148.71,563.03,23.83,170.16,250.0,261.6,2,6,6
